MAL_ID	Name	Score	Genders	English name	Japanese name	Type	Episodes	Aired	Premiered	Producers	Licensors	Studios	Source	Duration	Rating	Ranked	Popularity	Members	Favorites	Watching	Completed	On-Hold	Dropped	Plan to Watch	Score-10	Score-9	Score-8	Score-7	Score-6	Score-5	Score-4	Score-3	Score-2	Score-1	Theme	Demographic	Themes	Genre	Spanish	French	German	Demographics	Previewed
159	Boukyaku no Senritsu		Action, Adventure, Fantasy, Horror, Sci-Fi, Mecha, Psychological, Space, Super Power, Shounen	The Melody of Oblivion	忘却の旋律	TV	24	Apr 7, 2004 to Sep 22, 2004	Spring 2004	Kadokawa Shoten, TBS, KENMedia	Geneon Entertainment USA	Gainax, J.C.Staff	Manga	23 min. per ep.	PG-13 - Teens 13 or older	"7837"	4882	18717	40	951	7307	831	1320	8308	228	393	757	1433	1289	917	508	254	150	121		"Shounen
            

             Shounen"	"Mecha
            

             Mecha
            
            ,
            
             Psychological
            

             Psychological
            
            ,
            
             Space
            

             Space
            
            ,
            
             Super Power
            

             Super Power"		La Melodía del Olvido	The Melody of Oblivion	The Melody of Oblivion		
159	Boukyaku no Senritsu		Action, Adventure, Fantasy, Horror, Sci-Fi, Mecha, Psychological, Space, Super Power, Shounen	The Melody of Oblivion	忘却の旋律	TV	24	Apr 7, 2004 to Sep 22, 2004	Spring 2004	Kadokawa Shoten, TBS, KENMedia	Geneon Entertainment USA	Gainax, J.C.Staff	Manga	23 min. per ep.	PG-13 - Teens 13 or older	"7837"	4882	18717	40	951	7307	831	1320	8308	228	393	757	1433	1289	917	508	254	150	121		"Shounen
            

             Shounen"	"Mecha
            

             Mecha
            
            ,
            
             Psychological
            

             Psychological
            
            ,
            
             Space
            

             Space
            
            ,
            
             Super Power
            

             Super Power"		La Melodía del Olvido	The Melody of Oblivion	The Melody of Oblivion		
195	Onegai☆Teacher		Drama, Romance, Sci-Fi, School	Please Teacher!	おねがい☆ティーチャー	TV	12	Jan 10, 2002 to Mar 28, 2002	Winter 2002	Bandai Visual, Genco	Nozomi Entertainment, Bandai Entertainment	Daume	Original	22 min. per ep.	PG-13 - Teens 13 or older	"3668"	1321	175215	966	5341	125412	3246	5025	36191	7504	10655	20468	26143	15353	8297	3471	1402	814	571	"School
            

             School"				Please Teacher!	Please Teacher!	Onegai Teacher		
195	Onegai☆Teacher		Drama, Romance, Sci-Fi, School	Please Teacher!	おねがい☆ティーチャー	TV	12	Jan 10, 2002 to Mar 28, 2002	Winter 2002	Bandai Visual, Genco	Nozomi Entertainment, Bandai Entertainment	Daume	Original	22 min. per ep.	PG-13 - Teens 13 or older	"3668"	1321	175215	966	5341	125412	3246	5025	36191	7504	10655	20468	26143	15353	8297	3471	1402	814	571	"School
            

             School"				Please Teacher!	Please Teacher!	Onegai Teacher		
269	Bleach		Action, Adventure, Fantasy, Shounen	Bleach	BLEACH - ブリーチ -	TV	366	Oct 5, 2004 to Mar 27, 2012	Fall 2004	TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Shueisha	VIZ Media	Pierrot	Manga	24 min. per ep.	PG-13 - Teens 13 or older	"701"	39	1919995	71897	334486	967710	180508	210485	226806	183897	205020	284307	239762	104278	51409	20639	8068	3794	3998		"Shounen
           

            Shounen"							
269	Bleach		Action, Adventure, Fantasy, Shounen	Bleach	BLEACH - ブリーチ -	TV	366	Oct 5, 2004 to Mar 27, 2012	Fall 2004	TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Shueisha	VIZ Media	Pierrot	Manga	24 min. per ep.	PG-13 - Teens 13 or older	"701"	39	1919995	71897	334486	967710	180508	210485	226806	183897	205020	284307	239762	104278	51409	20639	8068	3794	3998		"Shounen
           

            Shounen"							
319	Happy World!		Comedy, Fantasy, Romance, Ecchi	Unknown	Happy World!	OVA	3	Dec 13, 2002 to Jun 27, 2003	Unknown	KSS, Soft Garage	Unknown	Zexcs	Manga	26 min. per ep.	PG-13 - Teens 13 or older	"9454"	7503	6316	7	183	3957	146	200	1830	90	108	280	607	713	537	267	129	62	46									
319	Happy World!		Comedy, Fantasy, Romance, Ecchi	Unknown	Happy World!	OVA	3	Dec 13, 2002 to Jun 27, 2003	Unknown	KSS, Soft Garage	Unknown	Zexcs	Manga	26 min. per ep.	PG-13 - Teens 13 or older	"9454"	7503	6316	7	183	3957	146	200	1830	90	108	280	607	713	537	267	129	62	46									
360	Himiko-den		Adventure, Drama, Fantasy, Supernatural	Legend of Himiko	火魅子伝	TV	12	Jan 7, 1999 to Apr 1, 1999	Winter 1999	Rakuonsha, Studio Jack, Amuse, Hakuhodo, Mitsubishi, Panasonic Digital Contents	Central Park Media	Group TAC	Game	23 min. per ep.	PG-13 - Teens 13 or older	"8465"	7572	6163	3	296	2527	279	374	2687	70	78	214	477	475	361	153	71	31	35									
360	Himiko-den		Adventure, Drama, Fantasy, Supernatural	Legend of Himiko	火魅子伝	TV	12	Jan 7, 1999 to Apr 1, 1999	Winter 1999	Rakuonsha, Studio Jack, Amuse, Hakuhodo, Mitsubishi, Panasonic Digital Contents	Central Park Media	Group TAC	Game	23 min. per ep.	PG-13 - Teens 13 or older	"8465"	7572	6163	3	296	2527	279	374	2687	70	78	214	477	475	361	153	71	31	35									
430	Fullmetal Alchemist: The Conqueror of Shamballa		Action, Adventure, Award Winning, Drama, Fantasy, Historical, Military, Shounen	Fullmetal Alchemist:The Movie - Conqueror of Shamballa	劇場版 鋼の錬金術師 シャンバラを征く者	Movie	1	Jul 23, 2005	Unknown	Aniplex, Square Enix, Shochiku, Mainichi Broadcasting System	Funimation	Bones	Manga	1 hr. 44 min.	R - 17+ (violence & profanity)	"1748"	702	326982	643	3151	282088	1646	1000	39097	21709	33466	53644	52577	24006	10445	5159	1911	969	750		"Shounen
            

             Shounen"	"Historical
            

             Historical
            
            ,
            
             Military
            

             Military"		Fullmetal Alchemist:El Conquistador de Shamballa	Fullmetal Alchemist:Conqueror of shamballa	Fullmetal Alchemist:Der Eroberer von Shamballa		
430	Fullmetal Alchemist: The Conqueror of Shamballa		Action, Adventure, Award Winning, Drama, Fantasy, Historical, Military, Shounen	Fullmetal Alchemist:The Movie - Conqueror of Shamballa	劇場版 鋼の錬金術師 シャンバラを征く者	Movie	1	Jul 23, 2005	Unknown	Aniplex, Square Enix, Shochiku, Mainichi Broadcasting System	Funimation	Bones	Manga	1 hr. 44 min.	R - 17+ (violence & profanity)	"1748"	702	326982	643	3151	282088	1646	1000	39097	21709	33466	53644	52577	24006	10445	5159	1911	969	750		"Shounen
            

             Shounen"	"Historical
            

             Historical
            
            ,
            
             Military
            

             Military"		Fullmetal Alchemist:El Conquistador de Shamballa	Fullmetal Alchemist:Conqueror of shamballa	Fullmetal Alchemist:Der Eroberer von Shamballa		
484	Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka		Adventure, Supernatural, Mythology, Shounen	Saiyuki:Requiem	劇場版　幻想魔伝最遊記　Requiem　選ばれざる者への鎮魂歌	Movie	1	Aug 18, 2001	Unknown	Unknown	ADV Films, Sentai Filmworks	Pierrot	Manga	1 hr. 35 min.	PG-13 - Teens 13 or older	"2600"	6252	9933	19	233	6405	165	160	2970	411	603	1057	1278	628	306	73	38	13	29	"Mythology
            

             Mythology"	"Shounen
            

             Shounen"			Gensomaden Saiyuki Requiem. La Película	Saiyuki:Requiem			
484	Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka		Adventure, Supernatural, Mythology, Shounen	Saiyuki:Requiem	劇場版　幻想魔伝最遊記　Requiem　選ばれざる者への鎮魂歌	Movie	1	Aug 18, 2001	Unknown	Unknown	ADV Films, Sentai Filmworks	Pierrot	Manga	1 hr. 35 min.	PG-13 - Teens 13 or older	"2600"	6252	9933	19	233	6405	165	160	2970	411	603	1057	1278	628	306	73	38	13	29	"Mythology
            

             Mythology"	"Shounen
            

             Shounen"			Gensomaden Saiyuki Requiem. La Película	Saiyuki:Requiem			
624	Mouse		Action, Comedy, Ecchi, Harem, Seinen	Unknown	マウス	TV	12	Jan 6, 2003 to Mar 24, 2003	Winter 2003	Media Factory, Broccoli, Hakusensha	Media Blasters	Studio Deen	Manga	14 min. per ep.	R+ - Mild Nudity	"9413"	4629	20951	35	1211	11779	638	1363	5960	464	454	964	1798	1864	1447	916	485	379	283	"Harem
           

            Harem"	"Seinen
           

            Seinen"							
624	Mouse		Action, Comedy, Ecchi, Harem, Seinen	Unknown	マウス	TV	12	Jan 6, 2003 to Mar 24, 2003	Winter 2003	Media Factory, Broccoli, Hakusensha	Media Blasters	Studio Deen	Manga	14 min. per ep.	R+ - Mild Nudity	"9413"	4629	20951	35	1211	11779	638	1363	5960	464	454	964	1798	1864	1447	916	485	379	283	"Harem
           

            Harem"	"Seinen
           

            Seinen"							
654	Galaxy Angel 3 Specials		Comedy, Sci-Fi	Galaxy Angel AA	ギャラクシーエンジェルＡＡ	Special	2	Nov 28, 2003	Unknown	Broccoli	Nozomi Entertainment, Bandai Entertainment	Unknown	Unknown	13 min. per ep.	PG - Children	"3691"	9047	3793	3	89	2371	92	80	1161	135	171	331	438	231	135	44	10	9	14									
654	Galaxy Angel 3 Specials		Comedy, Sci-Fi	Galaxy Angel AA	ギャラクシーエンジェルＡＡ	Special	2	Nov 28, 2003	Unknown	Broccoli	Nozomi Entertainment, Bandai Entertainment	Unknown	Unknown	13 min. per ep.	PG - Children	"3691"	9047	3793	3	89	2371	92	80	1161	135	171	331	438	231	135	44	10	9	14									
719	Ai no Kusabi		Boys Love, Drama, Sci-Fi, Erotica	Ai no Kusabi	間の楔	OVA	2	Aug 1, 1992 to May 1, 1994	Unknown	On-Lead	Unknown	AIC	Light novel	54 min. per ep.	R+ - Mild Nudity	"N/A"	3520	37868	401	968	27899	450	790	7761	2519	2402	3623	4188	3011	1851	883	457	278	278									
719	Ai no Kusabi		Boys Love, Drama, Sci-Fi, Erotica	Ai no Kusabi	間の楔	OVA	2	Aug 1, 1992 to May 1, 1994	Unknown	On-Lead	Unknown	AIC	Light novel	54 min. per ep.	R+ - Mild Nudity	"N/A"	3520	37868	401	968	27899	450	790	7761	2519	2402	3623	4188	3011	1851	883	457	278	278									
721	Princess Tutu		Comedy, Drama, Fantasy, Mystery, Romance, Mahou Shoujo, Performing Arts	Princess Tutu	プリンセスチュチュ	TV	38	Aug 16, 2002 to May 23, 2003	Summer 2002	Memory-Tech, GANSIS, Marvelous AQL	ADV Films, Sentai Filmworks	Hal Film Maker	Original	16 min. per ep.	PG-13 - Teens 13 or older	"436"	1367	166412	4938	8473	78460	8359	6111	65009	13247	14752	16249	11072	4979	2572	955	435	259	493			"Mahou Shoujo
           

            Mahou Shoujo
           
           ,
           
            Performing Arts
           

            Performing Arts"			Princesse Tutu			
721	Princess Tutu		Comedy, Drama, Fantasy, Mystery, Romance, Mahou Shoujo, Performing Arts	Princess Tutu	プリンセスチュチュ	TV	38	Aug 16, 2002 to May 23, 2003	Summer 2002	Memory-Tech, GANSIS, Marvelous AQL	ADV Films, Sentai Filmworks	Hal Film Maker	Original	16 min. per ep.	PG-13 - Teens 13 or older	"436"	1367	166412	4938	8473	78460	8359	6111	65009	13247	14752	16249	11072	4979	2572	955	435	259	493			"Mahou Shoujo
           

            Mahou Shoujo
           
           ,
           
            Performing Arts
           

            Performing Arts"			Princesse Tutu			
841	Colorful		Comedy, Ecchi, Gag Humor, Seinen	Colorful	カラフル	TV	16	Sep 6, 1999 to Sep 30, 1999	Summer 1999	TBS, Studio Wombat	ADV Films, Sentai Filmworks	Triangle Staff	Manga	6 min. per ep.	R+ - Mild Nudity	"9659"	4157	26826	59	1212	11560	795	1784	11475	509	557	1066	1775	1899	1438	914	536	481	522	"Gag Humor
           

            Gag Humor"	"Seinen
           

            Seinen"							
841	Colorful		Comedy, Ecchi, Gag Humor, Seinen	Colorful	カラフル	TV	16	Sep 6, 1999 to Sep 30, 1999	Summer 1999	TBS, Studio Wombat	ADV Films, Sentai Filmworks	Triangle Staff	Manga	6 min. per ep.	R+ - Mild Nudity	"9659"	4157	26826	59	1212	11560	795	1784	11475	509	557	1066	1775	1899	1438	914	536	481	522	"Gag Humor
           

            Gag Humor"	"Seinen
           

            Seinen"							
877	Nana		Drama, Romance, Adult Cast, Love Polygon, Music, Shoujo	Nana	NANA [ナナ]	TV	47	Apr 5, 2006 to Mar 28, 2007	Spring 2006	VAP, Nippon Television Network, Shueisha	VIZ Media, Sentai Filmworks	Madhouse	Manga	23 min. per ep.	R+ - Mild Nudity	"111"	310	645043	28704	56317	278740	32711	24667	252608	73069	63074	54275	31358	12720	5970	2686	992	673	1222		"Shoujo
           

            Shoujo"	"Adult Cast
           

            Adult Cast
           
           ,
           
            Love Polygon
           

            Love Polygon
           
           ,
           
            Music
           

            Music"						
877	Nana		Drama, Romance, Adult Cast, Love Polygon, Music, Shoujo	Nana	NANA [ナナ]	TV	47	Apr 5, 2006 to Mar 28, 2007	Spring 2006	VAP, Nippon Television Network, Shueisha	VIZ Media, Sentai Filmworks	Madhouse	Manga	23 min. per ep.	R+ - Mild Nudity	"111"	310	645043	28704	56317	278740	32711	24667	252608	73069	63074	54275	31358	12720	5970	2686	992	673	1222		"Shoujo
           

            Shoujo"	"Adult Cast
           

            Adult Cast
           
           ,
           
            Love Polygon
           

            Love Polygon
           
           ,
           
            Music
           

            Music"						
895	Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu		Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen	Dragon Ball Z:The World's Strongest	ドラゴンボールZ この世で一番強いヤツ	Movie	1	Mar 10, 1990	Unknown	Unknown	Funimation	Toei Animation	Manga	1 hr.	PG-13 - Teens 13 or older	"6169"	1866	112038	31	775	104220	386	336	6321	4541	4069	9068	18765	16597	9524	3683	1347	557	306		"Shounen
            

             Shounen"			Dragon Ball Z Película 2:El más Fuerte del Mundo	Dragon Ball Z Film 2:Le Robot des Glaces	Dragon Ball Z Film 2:Der Stärkste auf Erden		
895	Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu		Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen	Dragon Ball Z:The World's Strongest	ドラゴンボールZ この世で一番強いヤツ	Movie	1	Mar 10, 1990	Unknown	Unknown	Funimation	Toei Animation	Manga	1 hr.	PG-13 - Teens 13 or older	"6169"	1866	112038	31	775	104220	386	336	6321	4541	4069	9068	18765	16597	9524	3683	1347	557	306		"Shounen
            

             Shounen"			Dragon Ball Z Película 2:El más Fuerte del Mundo	Dragon Ball Z Film 2:Le Robot des Glaces	Dragon Ball Z Film 2:Der Stärkste auf Erden		
1035	Patalliro Saiyuuki!		Adventure, Boys Love, Comedy, Fantasy, Shoujo	Unknown	パタリロ西遊記！	TV	26	Jun 7, 2005 to Nov 29, 2005	Summer 2005	Unknown	Unknown	Magic Bus	Manga	9 min. per ep.	PG-13 - Teens 13 or older	"6808"	8854	4089	3	226	1447	227	409	1780	71	93	196	288	266	153	71	42	20	51		"Shoujo
           

            Shoujo"							
1035	Patalliro Saiyuuki!		Adventure, Boys Love, Comedy, Fantasy, Shoujo	Unknown	パタリロ西遊記！	TV	26	Jun 7, 2005 to Nov 29, 2005	Summer 2005	Unknown	Unknown	Magic Bus	Manga	9 min. per ep.	PG-13 - Teens 13 or older	"6808"	8854	4089	3	226	1447	227	409	1780	71	93	196	288	266	153	71	42	20	51		"Shoujo
           

            Shoujo"							
1046	Elf wo Karu Mono-tachi II		Adventure, Comedy, Fantasy, Isekai, Shounen	Those Who Hunt Elves II	エルフを狩るモノたち II	TV	12	Oct 2, 1997 to Dec 25, 1997	Fall 1997	Unknown	ADV Films, Sentai Filmworks	Group TAC	Manga	24 min. per ep.	PG-13 - Teens 13 or older	"3999"	5536	13433	12	423	9072	378	307	3253	451	665	1373	2139	1249	603	186	71	27	46	"Isekai
            

             Isekai"	"Shounen
            

             Shounen"							
1046	Elf wo Karu Mono-tachi II		Adventure, Comedy, Fantasy, Isekai, Shounen	Those Who Hunt Elves II	エルフを狩るモノたち II	TV	12	Oct 2, 1997 to Dec 25, 1997	Fall 1997	Unknown	ADV Films, Sentai Filmworks	Group TAC	Manga	24 min. per ep.	PG-13 - Teens 13 or older	"3999"	5536	13433	12	423	9072	378	307	3253	451	665	1373	2139	1249	603	186	71	27	46	"Isekai
            

             Isekai"	"Shounen
            

             Shounen"							
1057	Ippatsu Kiki Musume		Action, Comedy, Ecchi	Unknown	イッパツ危機娘	TV	16	Oct 5, 1999 to Oct 29, 1999	Fall 1999	TBS	Unknown	Group TAC	Manga	3 min. per ep.	R+ - Mild Nudity	"8302"	7062	7358	10	348	3606	183	305	2916	127	151	370	631	674	372	209	131	63	88									
1057	Ippatsu Kiki Musume		Action, Comedy, Ecchi	Unknown	イッパツ危機娘	TV	16	Oct 5, 1999 to Oct 29, 1999	Fall 1999	TBS	Unknown	Group TAC	Manga	3 min. per ep.	R+ - Mild Nudity	"8302"	7062	7358	10	348	3606	183	305	2916	127	151	370	631	674	372	209	131	63	88									
1072	Sweat Punch		Action, Fantasy, Historical, Mecha	Sweat Punch	スウェットパンチ	OVA	5	Mar 2, 2002 to Jul 1, 2006	Unknown	Grasshoppa!, Beyond C.	Unknown	Studio 4°C	Original	11 min. per ep.	R+ - Mild Nudity	"2697"	3499	38288	192	1397	19413	1482	919	15077	1987	2357	3563	3530	2230	1368	548	266	160	102			"Historical
           

            Historical
           
           ,
           
            Mecha
           

            Mecha"						
1072	Sweat Punch		Action, Fantasy, Historical, Mecha	Sweat Punch	スウェットパンチ	OVA	5	Mar 2, 2002 to Jul 1, 2006	Unknown	Grasshoppa!, Beyond C.	Unknown	Studio 4°C	Original	11 min. per ep.	R+ - Mild Nudity	"2697"	3499	38288	192	1397	19413	1482	919	15077	1987	2357	3563	3530	2230	1368	548	266	160	102			"Historical
           

            Historical
           
           ,
           
            Mecha
           

            Mecha"						
1237	One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!		Action, Adventure, Fantasy, Shounen	One Piece:Open Upon the Great Sea! A Father's Huge, HUGE Dream!	ワンピース 大海原にひらけ! でっかいでっカイ父の夢!	Special	1	Apr 6, 2003	Unknown	Unknown	Unknown	Toei Animation	Manga	46 min.	PG-13 - Teens 13 or older	"3132"	3770	32816	19	499	25067	389	274	6587	1693	1253	3075	5324	2733	1134	279	135	60	73		"Shounen
            

             Shounen"							
1237	One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!		Action, Adventure, Fantasy, Shounen	One Piece:Open Upon the Great Sea! A Father's Huge, HUGE Dream!	ワンピース 大海原にひらけ! でっかいでっカイ父の夢!	Special	1	Apr 6, 2003	Unknown	Unknown	Unknown	Toei Animation	Manga	46 min.	PG-13 - Teens 13 or older	"3132"	3770	32816	19	499	25067	389	274	6587	1693	1253	3075	5324	2733	1134	279	135	60	73		"Shounen
            

             Shounen"							
1443	Sol Bianca		Action, Adventure, Sci-Fi, Space	Unknown	SOL BIANCA (ソル·ビアンカ)	OVA	2	Mar 21, 1990 to Jul 21, 1991	Unknown	Half H.P Studio, NEC Avenue	ADV Films	AIC	Original	47 min. per ep.	R+ - Mild Nudity	"7857"	7270	6810	10	273	3059	136	166	3176	70	96	226	626	576	344	148	42	30	22	"Space
           

            Space"								
1443	Sol Bianca		Action, Adventure, Sci-Fi, Space	Unknown	SOL BIANCA (ソル·ビアンカ)	OVA	2	Mar 21, 1990 to Jul 21, 1991	Unknown	Half H.P Studio, NEC Avenue	ADV Films	AIC	Original	47 min. per ep.	R+ - Mild Nudity	"7857"	7270	6810	10	273	3059	136	166	3176	70	96	226	626	576	344	148	42	30	22	"Space
           

            Space"								
1454	Kemonozume		Action, Horror, Romance, Supernatural, Adult Cast, Gore, Mythology	Unknown	ケモノヅメ	TV	13	Aug 6, 2006 to Nov 5, 2006	Summer 2006	WOWOW, Imagine	Unknown	Madhouse	Original	23 min. per ep.	R+ - Mild Nudity	"2367"	2418	74122	469	3569	22620	2616	2661	42656	1565	2843	5051	5021	2611	1175	648	285	173	222			"Adult Cast
           

            Adult Cast
           
           ,
           
            Gore
           

            Gore
           
           ,
           
            Mythology
           

            Mythology"						
1454	Kemonozume		Action, Horror, Romance, Supernatural, Adult Cast, Gore, Mythology	Unknown	ケモノヅメ	TV	13	Aug 6, 2006 to Nov 5, 2006	Summer 2006	WOWOW, Imagine	Unknown	Madhouse	Original	23 min. per ep.	R+ - Mild Nudity	"2367"	2418	74122	469	3569	22620	2616	2661	42656	1565	2843	5051	5021	2611	1175	648	285	173	222			"Adult Cast
           

            Adult Cast
           
           ,
           
            Gore
           

            Gore
           
           ,
           
            Mythology
           

            Mythology"						
1496	Fushigi no Kuni no Miyuki-chan		Comedy, Fantasy, Girls Love, Ecchi	Miyuki-chan in Wonderland	不思議の国の美幸ちゃん	OVA	2	Jun 21, 1995	Unknown	Unknown	ADV Films	animate Film	Manga	14 min. per ep.	R+ - Mild Nudity	"10835"	5679	12568	9	270	8501	168	223	3406	216	233	510	1061	1441	1184	695	371	272	176									
1496	Fushigi no Kuni no Miyuki-chan		Comedy, Fantasy, Girls Love, Ecchi	Miyuki-chan in Wonderland	不思議の国の美幸ちゃん	OVA	2	Jun 21, 1995	Unknown	Unknown	ADV Films	animate Film	Manga	14 min. per ep.	R+ - Mild Nudity	"10835"	5679	12568	9	270	8501	168	223	3406	216	233	510	1061	1441	1184	695	371	272	176									
